source_value;count;target_value
5;19;
6;19;
4.5;16;
4;10;
6.5;10;
5.5;9;
7.5;9;
44;8;
7;8;
8;6;
3.5;5;
46;5;
8.5;5;
9.5;5;
9;4;
43;3;
45;3;
3;2;
41;2;
42;2;
48;2;
?;1;
2.5;1;
34;1;
36;1;
38;1;
47;1;
8,5;1;
