source_value;count;target_value
Durea_breed;97;
Durea_normaal;30;
HT;20;
Classic;6;
H_leest;2;
Anders, nml :;1;
Durea breed;1;
Durea normaal;1;
Finn_Comfort_breed_natuurvorm;1;
